,Quote,Link
2257,Esenes Forgings,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/esenesforgings/EF06
2258,Esha Media,https://www.moneycontrol.com/india/stockpricequote/printingstationery/eshamediaresearch/LD
2259,Eskay Knit,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/eskayknit/EK01
2260,Eskay Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eskaypharmaceuticals/EP05
2261,Espire Hospital,https://www.moneycontrol.com/india/stockpricequote/espirehospital/espirehospitality/UHD
2262,Esquire Enginee,https://www.moneycontrol.com/india/stockpricequote/engineering/esquireengineering/EEL
2263,Esquire Money,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/esquiremoneyguarantees/EMG01
2264,ESS DEE,https://www.moneycontrol.com/india/stockpricequote/packaging/essdeealuminium/ESS02
2265,Essar Oil,https://www.moneycontrol.com/india/stockpricequote/refineries/essaroil/EO01
2266,Essar Ports,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/essarports/ESP
2267,Essar Sec,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/essarsecurities/ES9
2268,Essar Shipping,https://www.moneycontrol.com/india/stockpricequote/shipping/essarshipping/ES10
2269,Essar Steel,https://www.moneycontrol.com/india/stockpricequote/steellarge/essarsteel/ES01
2270,Essar Tele,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/essarteleholdings/ET05
2271,Essel Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/esselsoftwareservices/ESS
2272,Essem Catalyst,https://www.moneycontrol.com/india/stockpricequote/chemicals/essemcatalyst/EC03
2273,Essemm Info,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/essemminformationsystems/EIS
2274,Essen Computers,https://www.moneycontrol.com/india/stockpricequote/computershardware/essencomputers/ECL01
2275,ESSEN-RE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/integraessentiare/IER
2276,Essjay Syntheti,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/essjaysynthetics/ES04
2277,Esskay Tele,https://www.moneycontrol.com/india/stockpricequote/financegeneral/esskaytelecom/ET06
2278,Esteem Bio,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/esteembioorganicfoodprocessing/EBO
2279,Estel Agrotech ,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/estelagrotech/EAL01
2280,Ester Ind,https://www.moneycontrol.com/india/stockpricequote/packaging/esterindustries/EI20
2281,ETC Networks,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/etcnetworks/ETC
2282,Ethos,https://www.moneycontrol.com/india/stockpricequote/watchesaccessories/ethos/E12
2283,ETL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/elloratradinglimited/ELLOR54280
2284,ETP Corporation,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/etpcorporation/ETP
2285,ETT,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ett/ETT
2286,Eupharma Labs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/eupharmalaboratories/EL
2287,Eureka Forbes,https://www.moneycontrol.com/india/stockpricequote/eurekaforbes/eurekaforbes/EF03
2288,Eureka Ind,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/eurekaindustries/EI08
2289,Euro Ceramics,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/euroceramics/EC7
2290,Euro India Fres,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/euroindiafreshfoods/EIF
2291,Euro Industries,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/euroindustriesindia/EII01
2292,Euro Leder,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/eurolederfashion/ELF04
2293,Euro Leder Fash,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/eurolederfashion/ELF02
2294,Euro Marine Pro,https://www.moneycontrol.com/india/stockpricequote/aquaculture/euromarineproducts/EMP
2295,Euro Panel,https://www.moneycontrol.com/india/stockpricequote/aluminiumaluminiumproducts/europanelproducts/EPP
2296,EuroMult,https://www.moneycontrol.com/india/stockpricequote/computershardware/euromultivision/EM02
2297,European Soft,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/europeansoftwarealliances/ESA
2298,Europlast India,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/europlastindia/EI09
2299,Eurotex,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/eurotexindustriesexports/EIE
2300,Evans Electric,https://www.moneycontrol.com/india/stockpricequote/electricequipment/evanselectric/EE06
2301,Eveready Ind,https://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
2302,Everest Ind,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/everestindustries/EI19
2303,Everest Kanto,https://www.moneycontrol.com/india/stockpricequote/packaging/everestkantocylinder/EKC
2304,Everest Market,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/everestmarketing/EM01
2305,Everest Organic,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/everestorganics/EO02
2306,Evergreen Tex,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/evergreentextiles/PK
2307,Everlon Synth,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/everlonsynthetics/ES05
2308,Everonn Edu,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/everonneducation/EE05
2309,Evexia Lifecare,https://www.moneycontrol.com/india/stockpricequote/chemicals/evexialifecare/JHP
2310,Evinix,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/evinixaccessories/EA01
2311,Evoq Remedies,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/evoqremedies/ER02
2312,Excel,https://www.moneycontrol.com/india/stockpricequote/chemicals/excelindustries/EI10
2313,Excel Castronic,https://www.moneycontrol.com/india/stockpricequote/chemicals/excelcastronics/AG
2314,Excel Crop Care,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/excelcropcare/ECC03
2315,Excel Glasses,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/excelglasses/EG01
2316,Excel Realty,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/excelrealtyninfra/EI07
2317,Exdon Trading,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/exdontradingcompany/ETC01
2318,Exedy India,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exedyindia/CD01
2319,Exel Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/exelsoftware/ESL01
2320,Exelon Infra,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/exeloninfrastructure/EI21
2321,Exide Ind,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
2322,EXL Services,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/exlservices/EXL
2323,Exotic Coal,https://www.moneycontrol.com/india/stockpricequote/detergents/exoticcoal/ACC05
2324,Expleo Solution,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/expleosolutions/TGS01
2325,ExplicitFinance,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/explicitfinance/EF08
2326,Expo Gas Cont,https://www.moneycontrol.com/india/stockpricequote/engineering/expogascontainers/EGC
2327,Exquisite Exp,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/exquisiteexports/EE03
2328,Extol Comm,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/extolcommercial/EC05
2329,Exxaro Tiles,https://www.moneycontrol.com/india/stockpricequote/ceramicsmarblegranitesanitaryware/exxarotiles/ET02
2330,F Mec Intl.,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/fmecinternationalfinancialservices/FMI01
2331,Fabino Life,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/fabinolifesciences/FLS
2332,Facor Alloys,https://www.moneycontrol.com/india/stockpricequote/miningminerals/facoralloys/FA
2333,Facor Steels,https://www.moneycontrol.com/india/stockpricequote/steellarge/facorsteels/FS06
2334,Fact Enterprise,https://www.moneycontrol.com/india/stockpricequote/financegeneral/factenterprise/FE02
2335,Fairchem Org.,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/fairchemorganics/FO01
2336,Fairdeal Fila,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/fairdealfilaments/FF
2337,Fairdeal Trade ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fairdealtradelink/FTL
2338,Fairfield Atlas,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fairfieldatlas/FA01
2339,FAL Industries,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/falindustries/FAL
2340,Falcon Tyres,https://www.moneycontrol.com/india/stockpricequote/tyres/falcontyres/FT
2341,Fame India,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/fameindia/FI19
2342,Farmax India,https://www.moneycontrol.com/india/stockpricequote/trading/farmaxindia/FRI
2343,Fast Track,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/fasttrackentertainment/FTE01
2344,Fatpipe Network,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fatpipenetworksindia/FNI
2345,Faze Three,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/fazethree/FTE
2346,Faze Three Auto,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/fazethreeautofab/AFT02
2347,FCGL Industries,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/fcglindustries/FCG01
2348,FCI OEN,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/fcioenconnectors/FCI01
2349,FCL Tech,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fcltechnologiesproducts/FCL01
2350,FCS Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fcssoftwaresolutions/FCS
2351,FDC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
2352,FE (India),https://www.moneycontrol.com/india/stockpricequote/financeinvestments/feindia/FEI
2353,Fedders Elec,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/fedderselectricengineering/FL
2354,Federal Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
2355,Federal-Mogul,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG
2356,Felix Industrie,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/felixindustries/FI20
2357,Fem Care Pharma,https://www.moneycontrol.com/india/stockpricequote/personalcare/femcarepharma/FCP
2358,Femnor Mineral,https://www.moneycontrol.com/india/stockpricequote/miningminerals/femnormineralindia/FMI
2359,Fenoplast,https://www.moneycontrol.com/india/stockpricequote/plastics/fenoplast/F
2360,Fermenta Bio,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fermentabiotech/DIL03
2361,Fernhill Ind,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fernhillindustries/FI14
2362,Ferro Alloys,https://www.moneycontrol.com/india/stockpricequote/miningminerals/ferroalloyscorporation/FAC
2363,Ferro Concrete,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ferroconcretecompanyindia/FCC
2364,Fert and Chem,https://www.moneycontrol.com/india/stockpricequote/fertilisers/fertiliserschemicalstravancore/FCT
2365,Fervent Synergi,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ferventsynergies/FPS
2366,FGP,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/fgp/FGP
2367,FI Sofex,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fisofex/FIS01
2368,Fiberweb India,https://www.moneycontrol.com/india/stockpricequote/plastics/fiberwebindia/PVD
2369,Ficom Organics,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/ficomorganics/FO
2370,FICS Consultanc,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ficsconsultancyservices/FIC01
2371,Fidel Softech,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/fidelsoftech/FS09
2372,Fidelity Fin,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/fidelityfinance/FF01
2373,Fidelity Ind,https://www.moneycontrol.com/india/stockpricequote/rubber/fidelityindustries/FI04
2374,FIEM Ind,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fiemindustries/FIE
2375,Filaments India,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/filamentsindia/FI05
2376,Filatex Fashion,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/filatexfashions/FF08
2377,Filatex India,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/filatexindia/FI06
2378,Filmcity Media,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/filmcitymedia/FM
2379,Filtra Consult,https://www.moneycontrol.com/india/stockpricequote/engineering/filtraconsultantsengineers/FCE
2380,Filtron Enginee,https://www.moneycontrol.com/india/stockpricequote/engineering/filtronengineers/FE
2381,Finalysis Cr,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/finalysiscr/FC04
2382,Finaventure Cap,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/finaventurecapital/FC06
2383,Fine Drugs,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/finedrugs/FD
2384,Fine Organics,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
2385,Fine-line Circ,https://www.moneycontrol.com/india/stockpricequote/electricals/finelinecircuits/FC
2386,Fineline Cir,https://www.moneycontrol.com/india/stockpricequote/electricals/finelinecir/FC05
2387,Fineotex Chem,https://www.moneycontrol.com/india/stockpricequote/fineotexchem/fineotexchemical/FC02
2388,Finkurve Fin,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/finkurvefinancialservices/SL02
2389,Fino Payments,https://www.moneycontrol.com/india/stockpricequote/finopayments/finopaymentsbank/FPB
2390,Finolex Cables,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01
2391,Finolex Ind,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
2392,Fintech Comm,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fintechcommunication/FC03
2393,First Custodian,https://www.moneycontrol.com/india/stockpricequote/financegeneral/firstcustodianfundindia/FCF
2394,First Financial,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/firstfinancialservices/FFS
2395,FIRST FINTEC,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstfintec/FT03
2396,First Leasing,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/firstleasingcompanyindia/FLC
2397,First Winner,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/firstwinnerindustries/FWI
2398,Firstsource Sol,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
2399,Firth India,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/firthindiasteelcompany/FIS
2400,Fischer Inorg,https://www.moneycontrol.com/india/stockpricequote/chemicals/fischerinorganicaro/FIA
2401,Fish Falcon,https://www.moneycontrol.com/india/stockpricequote/aquaculture/fishingfalcons/FF07
2402,Fishing Falcons,https://www.moneycontrol.com/india/stockpricequote/aquaculture/fishingfalcons/FFL
2403,Five Core,https://www.moneycontrol.com/india/stockpricequote/electricals/fivecoreelectronics/FCE01
2404,Five X Tradecom,https://www.moneycontrol.com/india/stockpricequote/financegeneral/fivextradecom/FXF
2405,Flawless Diamon,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/flawlessdiamondindia/FDI
2406,Fleetweld,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/fleetweldindia/FI07
2407,Flex Engg,https://www.moneycontrol.com/india/stockpricequote/engineering/flexengineering/FE01
2408,Flex Foods,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/flexfoods/FF03
2409,Flexi Circuits,https://www.moneycontrol.com/india/stockpricequote/packaging/flexicircuitsindia/FCI
2410,Flexituff Ventu,https://www.moneycontrol.com/india/stockpricequote/packaging/flexituffventuresinternational/FI08
2411,Flextronics,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/flextronicssoftwaresystems/FSS
2412,Floatglass,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/floatglassindia/FI09
2413,Flomic Global,https://www.moneycontrol.com/india/stockpricequote/flomicglobal/flomicgloballogistics/VTC01
2414,Flora Corporati,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/floracorporation/FC08
2415,Flora Textiles,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/floratextiles/FT01
2416,Flora Wall Cove,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/florawallcoverings/FWC
2417,Florence Invest,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/florenceinvestech/JKA02
2418,Flower & Tissue,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/flowertissueindia/FTI
2419,Fluid-Air India,https://www.moneycontrol.com/india/stockpricequote/engineering/fluidairindia/FAI
2420,Fluidclean Ind,https://www.moneycontrol.com/india/stockpricequote/aquaculture/fluidcleanindustriesindia/FII
2421,Fluidomat,https://www.moneycontrol.com/india/stockpricequote/engineering/fluidomat/F02
2422,Foce India,https://www.moneycontrol.com/india/stockpricequote/retailing/foceindia/FI21
2423,Focus Business,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/focusbusinesssolution/FBS
2424,Focus Ind,https://www.moneycontrol.com/india/stockpricequote/financegeneral/focusindustrialresources/FIR
2425,Focus Lighting ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/focuslightingfixtures/FLF03
2426,Focus Suits Sol,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/focussuitssolutionsservicesltd/FSS01
2427,Fomento Resorts,https://www.moneycontrol.com/india/stockpricequote/hotels/fomentoresortshotels/FRH
2428,Fone4 Comm,https://www.moneycontrol.com/india/stockpricequote/onlineservices/fone4communicationsindia/FCI02
2429,Foods and Inns,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/foodsinns/FI10
2430,Forbes Gokak,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/forbesgokak/FG
2431,Force Motors,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01
2432,Forge and Blowe,https://www.moneycontrol.com/india/stockpricequote/engineering/forgeblowerindustries/FBI
2433,Fortis Health,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
2434,Fortis Malar,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortismalarhospitals/MH01
2435,Fortune Foods,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/fortunefoods/FF04
2436,Fortune Infosys,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fortuneinfosys/FI16
2437,Fortune Infotek,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fortuneinfotech/FI18
2438,Fortune Intl,https://www.moneycontrol.com/india/stockpricequote/trading/fortuneinternational/FI11
2439,Forward Sec,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/forwardsecurities/FS01
2440,Foseco India,https://www.moneycontrol.com/india/stockpricequote/chemicals/fosecoindia/FI12
2441,Foundry Fuel,https://www.moneycontrol.com/india/stockpricequote/miningminerals/foundryfuelproducts/FFP
2442,Four Dimens,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/fourdimenssecurities/FDS
2443,Fourth Dimensio,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/fourthdimensionsolutions/FDS01
2444,Fourth Gen Info,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fourthgenerationinformationsystems/FGI
2445,Franklin Ind,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/franklinindustries/MPP01
2446,Franklin Leasin,https://www.moneycontrol.com/india/stockpricequote/financegeneral/franklinleasingfinance/FLF02
2447,Fraser and Comp,https://www.moneycontrol.com/india/stockpricequote/trading/frasercompany/FC07
2448,Fredun Pharmace,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fredunpharmaceuticalslimited/FPL01
2449,Fresenius Kabi,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/freseniuskabioncology/FKO01
2450,Freshtrop Fruit,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/freshtropfruits/FF05
2451,Frontier Cap,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/frontiercapital/FLF
2452,Frontier Spring,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/frontiersprings/FS02
2453,Frontline Finan,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinefinancialservices/FFS04
2454,Frontline Sec,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/frontlinesecurities/FS08
2455,Frontline Sol,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/frontlinebusinesssolutions/FBS01
2456,Frontline Trans,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/frontlinetransport/FTL01
2457,Fruition Vent,https://www.moneycontrol.com/india/stockpricequote/trading/fruitionventure/FV
2458,FSN E-Co Nykaa,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fsnecommerceventuresnykaa/FEV
2459,FTSE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ftse100/FTS
2460,Fulford,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fulfordindia/FI13
2461,Fuller KCP,https://www.moneycontrol.com/india/stockpricequote/engineering/fullerindia/FI15
2462,Fundviser,https://www.moneycontrol.com/india/stockpricequote/dyespigments/fundvisercapitalindia/BC
2463,Funny Software,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/funnysoftware/FS
2464,Funworld Tour,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/funworldandtourdev/FAT
2465,Fusion Fittings,https://www.moneycontrol.com/india/stockpricequote/trading/fusionfittings/FF06
2466,Fusion Polymers,https://www.moneycontrol.com/india/stockpricequote/plastics/fusionpolymers/FPL
2467,Futura,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/futurapolyesters/FP
2468,Future Consumer,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI
2469,Future Ent,https://www.moneycontrol.com/india/stockpricequote/retail/futureenterprises/PR03
2470,Future Ent DVR,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/futureenterprisesdvr/FELDV57000
2471,Future Life,https://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
2472,Future Market,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/futuremarketnetworks/AD04
2473,Future Retail,https://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
2474,Future Supply,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/futuresupplychainsolutions/FSC
2475,Futuristic,https://www.moneycontrol.com/india/stockpricequote/chemicals/futuristicoffshoreservicesandchem/FOS
2476,Futuristic Sec,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/futuristicsecurities/FS03
2477,Futuristic Sol,https://www.moneycontrol.com/india/stockpricequote/financegeneral/futuristicsolutions/FS9
2478,G Claridge,https://www.moneycontrol.com/india/stockpricequote/packaging/gclaridgecompany/GCC
2479,G E Capital,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gecapitaltransportationfinancialservices/GEC01
2480,G G Engineering,https://www.moneycontrol.com/india/stockpricequote/engineering/ggengineering/E10
2481,G K P Printing,https://www.moneycontrol.com/india/stockpricequote/packaging/gkpprintingpackaging/PP29
2482,G R Infra,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/grinfraprojects/I09
2483,G-Tech Info,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gtechinfotraining/GS11
2484,G.D. Trading,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gdtradingagencies/GDT
2485,Gabriel India,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02
2486,Gaekwar Mills,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/gaekwarmills/GML
2487,Gagan Gases,https://www.moneycontrol.com/india/stockpricequote/chemicals/gagangases/GG
2488,Gagan Polycot,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/gaganpolycotindia/GPI01
2489,GAIL,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
2490,Gajanan Sec,https://www.moneycontrol.com/india/stockpricequote/financegeneral/gajanansecuritiesservices/GSS
2491,Gajra Bevel Gea,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gajrabevelgears/GBG
2492,Gala Global Prd,https://www.moneycontrol.com/india/stockpricequote/printingstationery/galaglobalproductsltd/GPC
2493,Galactico Corp,https://www.moneycontrol.com/india/stockpricequote/financeothers/galacticocorporateservices/GCS
2494,Galada Finance,https://www.moneycontrol.com/india/stockpricequote/financegeneral/galadafinance/GF15
2495,Galada Telecom,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/galadapowertelecommunications/GPT
2496,Galaxy Agrico,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxyagricoexports/GAE03
2497,Galaxy Bearings,https://www.moneycontrol.com/india/stockpricequote/bearings/galaxybearings/GB
2498,Galaxy Cloud,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/galaxycloudkitchens/GE04
2499,Galaxy Commerci,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/latentlightfinance/GC21
2500,Galaxy Con,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/galaxyconsolidated/GC15
2501,Galaxy Surfact,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactants/GS12
2502,Galaxy Surfacta,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
2503,Gallantt Ispat,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gallanttispat/GI
2504,Gallantt Metal,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gallanttmetal/GM02
2505,Gallops Ent,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/gallopsenterprise/FL01
2506,Galore Prints,https://www.moneycontrol.com/india/stockpricequote/packaging/galoreprintsindustries/GPI06
2507,Galvani Batteri,https://www.moneycontrol.com/india/stockpricequote/drycells/galvanibatteries/GBL01
2508,Gamma Rays Tran,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/gammaraystransmissions/GRT
2509,Gammon India,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gammonindia/GI03
2510,Ganapati Exp,https://www.moneycontrol.com/india/stockpricequote/trading/ganapatiexports/GE03
2511,Gandhi Spl Tube,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/gandhispecialtubes/GST
2512,Gandhidham Spg.,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/gandhidhamspgmfgco/GSM03
2513,Gandhinagar Fin,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gandhinagarleasingfinance/GLF
2514,Gandhinagar Hot,https://www.moneycontrol.com/india/stockpricequote/hotels/gandhinagarhotels/GH
2515,Ganesh Benzo,https://www.moneycontrol.com/india/stockpricequote/chemicals/ganeshbenzoplast/GB01
2516,Ganesh Films In,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ganeshfilmsindia/GFI03
2517,Ganesh Forgings,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/shreeganeshforgings/SGF02
2518,Ganesh Foundry ,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/ganeshfoundrycastings/GFC02
